t,S,I,R,D,beta,gamma,mu,R0
212.0,5765800.0,-1.5224609,53081.395,3266.767,0.019870441,0.030076556,0.00014416133,0.6575106
213.0,5765800.0,-1.5014648,53081.34,3266.774,0.019867152,0.03007663,0.00014415297,0.65740025
214.0,5765800.0,-1.4799805,53081.28,3266.781,0.019863926,0.030076705,0.00014414504,0.6572921
215.0,5765800.0,-1.4604492,53081.23,3266.788,0.019860756,0.030076781,0.0001441375,0.65718573
216.0,5765800.0,-1.4404297,53081.18,3266.7954,0.019857649,0.030076858,0.00014413042,0.6570814
217.0,5765800.0,-1.421875,53081.12,3266.8027,0.019854601,0.030076934,0.00014412375,0.656979
218.0,5765800.0,-1.4023438,53081.074,3266.8103,0.019851614,0.030077012,0.00014411748,0.65687865
219.0,5765800.0,-1.3842773,53081.027,3266.8179,0.019848693,0.030077092,0.00014411162,0.65678036
220.0,5765800.0,-1.3652344,53080.98,3266.8257,0.019845836,0.030077172,0.00014410618,0.6566842
221.0,5765800.0,-1.3476562,53080.93,3266.8333,0.01984303,0.030077253,0.0001441012,0.65658975
222.0,5765800.0,-1.3310547,53080.883,3266.8413,0.019840289,0.030077334,0.00014409656,0.65649736
223.0,5765800.0,-1.3154297,53080.84,3266.849,0.019837607,0.030077418,0.00014409234,0.6564069
224.0,5765800.0,-1.2988281,53080.797,3266.8574,0.019834992,0.030077502,0.00014408858,0.6563186
225.0,5765800.0,-1.2832031,53080.754,3266.8655,0.019832432,0.030077586,0.00014408522,0.6562322
226.0,5765800.0,-1.2670898,53080.71,3266.874,0.019829934,0.030077672,0.00014408224,0.65614766
227.0,5765800.0,-1.253418,53080.676,3266.8823,0.019827493,0.030077757,0.00014407969,0.6560651
228.0,5765800.0,-1.2392578,53080.63,3266.8909,0.019825118,0.030077845,0.00014407752,0.65598464
229.0,5765800.0,-1.2241211,53080.594,3266.8992,0.019822799,0.030077934,0.00014407579,0.655906
230.0,5765800.0,-1.2114258,53080.56,3266.9082,0.019820545,0.030078024,0.00014407448,0.65582955
231.0,5765800.0,-1.2006836,53080.527,3266.9167,0.019818347,0.030078113,0.00014407352,0.6557549
232.0,5765800.0,-1.1855469,53080.492,3266.9255,0.01981621,0.030078204,0.00014407301,0.6556822
233.0,5765800.0,-1.1733398,53080.46,3266.9346,0.019814134,0.030078296,0.00014407292,0.6556115
234.0,5765800.0,-1.1630859,53080.43,3266.9438,0.019812118,0.030078389,0.00014407319,0.6555428
235.0,5765800.0,-1.1513672,53080.4,3266.953,0.019810164,0.030078482,0.00014407389,0.65547615
236.0,5765800.0,-1.1411133,53080.37,3266.962,0.019808266,0.030078577,0.00014407496,0.65541124
237.0,5765800.0,-1.1303711,53080.34,3266.9714,0.019806426,0.030078672,0.00014407648,0.6553483
238.0,5765800.0,-1.1210938,53080.312,3266.981,0.019804649,0.030078769,0.00014407837,0.6552874
